"V1";"V2";"V3";"V4";"V5"
"1";101;109;110;1;-300
"2";102;82;89;7;-300
"3";103;78;81;3;-300
"4";104;111;120;9;-300
"5";105;26;27;1;-300
"6";106;9;18;9;-300
"7";107;90;108;18;-300
"8";108;28;77;49;-300
"9";109;1;8;7;-300
"10";110;19;25;6;-300
"1";101;76;79;3;-300
"2";102;80;81;1;-300
"3";103;43;45;2;-300
"4";104;35;42;7;-300
"5";105;104;120;16;-300
"6";106;1;34;33;-300
"7";107;71;75;4;-300
"8";108;46;57;11;-300
"9";109;82;103;21;-300
"10";110;58;70;12;-300
"1";101;74;77;3;-300
"2";102;26;36;10;-300
"3";103;87;120;33;-300
"4";104;37;45;8;-300
"5";105;18;25;7;-300
"6";106;13;17;4;-300
"7";107;78;82;4;-300
"8";108;1;12;11;-300
"9";109;83;86;3;-300
"10";110;46;73;27;-300
"1";101;9;10;1;-300
"2";102;17;34;17;-300
"3";103;93;120;27;-300
"4";104;56;61;5;-300
"5";105;35;49;14;-300
"6";106;1;8;7;-300
"7";107;67;92;25;-300
"8";108;62;66;4;-300
"9";109;50;55;5;-300
"10";110;11;16;5;-300
"1";101;10;59;49;-300
"2";102;68;69;1;-300
"3";103;5;9;4;-300
"4";104;82;94;12;-300
"5";105;60;67;7;-300
"6";106;70;81;11;-300
"7";107;1;4;3;-300
"8";108;107;111;4;-300
"9";109;95;106;11;-300
"10";110;112;120;8;-300
"1";101;50;62;12;-300
"2";102;98;102;4;-300
"3";103;34;39;5;-300
"4";104;40;49;9;-300
"5";105;63;80;17;-300
"6";106;81;82;1;-300
"7";107;92;97;5;-300
"8";108;1;33;32;-300
"9";109;83;91;8;-300
"10";110;103;120;17;-300
"1";101;62;67;5;-300
"2";102;96;106;10;-300
"3";103;50;57;7;-300
"4";104;17;49;32;-300
"5";105;12;16;4;-300
"6";106;1;11;10;-300
"7";107;68;93;25;-300
"8";108;94;95;1;-300
"9";109;107;120;13;-300
"10";110;58;61;3;-300
"1";101;40;43;3;-300
"2";102;95;106;11;-300
"3";103;13;25;12;-300
"4";104;44;60;16;-300
"5";105;107;120;13;-300
"6";106;26;28;2;-300
"7";107;32;39;7;-300
"8";108;1;12;11;-300
"9";109;61;94;33;-300
"10";110;29;31;2;-300
"1";101;1;16;15;-300
"2";102;41;53;12;-300
"3";103;17;26;9;-300
"4";104;27;33;6;-300
"5";105;100;104;4;-300
"6";106;68;99;31;-300
"7";107;105;120;15;-300
"8";108;57;67;10;-300
"9";109;54;56;2;-300
"10";110;34;40;6;-300
"1";101;77;84;7;-300
"2";102;39;41;2;-300
